日期 天气状况 气温 风力风向
2014年12月28日 晴/晴 13℃/0℃ 西北风≤3级/东北风≤3级
2014年12月29日 晴/晴 13℃/-1℃ 东风≤3级/西北风≤3级
2014年12月30日 晴/晴 12℃/-2℃ 西北风≤3级/东北风≤3级
2014年12月31日 晴/晴 5℃/-4℃ 东北风≤3级/西北风≤3级
2015年01月01日 晴/多云 4℃/-4℃ 东北风≤3级/东北风≤3级
2015年01月02日 多云/多云 5℃/-3℃ 东北风≤3级/东风≤3级
2015年01月03日 多云/晴 7℃/-2℃ 东风≤3级/东风≤3级
2015年01月04日 多云/阴 6℃/0℃ 东风≤3级/东北风≤3级
2015年01月05日 多云/阴 7℃/1℃ 北风3-4级/东北风≤3级
2015年01月06日 阴/多云 5℃/-1℃ 东北风≤3级/西风≤3级
2015年01月07日 多云/多云 6℃/-2℃ 西风≤3级/东风≤3级
2015年01月08日 多云/晴 8℃/-1℃ 西北风≤3级/东北风≤3级
2015年01月09日 晴/晴 8℃/-2℃ 东北风≤3级/东北风≤3级
2015年01月10日 晴/晴 8℃/-2℃ 东北风≤3级/东北风≤3级
2015年01月11日 多云/多云 8℃/-2℃ 东北风≤3级/东北风≤3级
2015年01月12日 阴/阴 8℃/-1℃ 东北风≤3级/西南风≤3级
2015年01月13日 阴/阴 6℃/0℃ 东北风≤3级/东北风≤3级
2015年01月14日 多云/霾 7℃/-2℃ 东北风≤3级/东北风≤3级
2015年01月15日 霾/霾 7℃/-2℃ 北风≤3级/东风≤3级
2015年01月16日 多云/多云 7℃/-2℃ 东风≤3级/东风≤3级
2015年01月17日 阴/阴 5℃/-2℃ 东风≤3级/东风≤3级
2015年01月18日 晴/晴 10℃/-2℃ 东风≤3级/东风≤3级
2015年01月19日 多云/多云 10℃/-1℃ 东风≤3级/东风≤3级
2015年01月20日 多云/晴 9℃/0℃ 北风≤3级/东北风≤3级
2015年01月21日 晴/晴 8℃/-2℃ 北风≤3级/东北风≤3级
2015年01月22日 晴/晴 10℃/-2℃ 东北风≤3级/东北风≤3级
2015年01月23日 多云/阴 7℃/-1℃ 东北风≤3级/东北风≤3级
2015年01月24日 阴/霾 5℃/0℃ 西南风≤3级/东北风≤3级
2015年01月25日 霾/霾 7℃/-2℃ 东北风≤3级/西南风≤3级
2015年01月26日 霾/霾 4℃/0℃ 西南风≤3级/北风3-4级
2015年01月27日 小雨/雨夹雪 3℃/-1℃ 西南风≤3级/西南风≤3级
2015年01月28日 雨夹雪/小雪 1℃/-4℃ 西南风≤3级/西南风≤3级
2015年01月29日 阴/多云 2℃/-4℃ 西南风≤3级/东北风≤3级
2015年01月30日 阴/小雪 2℃/-4℃ 东北风≤3级/东风≤3级
2015年01月31日 雨夹雪/阴 2℃/-4℃ 东风≤3级/南风≤3级
2015年02月01日 阴/多云 3℃/-4℃ 东风≤3级/东风≤3级
2015年02月02日 多云/多云 4℃/-4℃ 东风≤3级/东北风≤3级
2015年02月03日 晴/晴 7℃/-3℃ 东风≤3级/西风≤3级
2015年02月04日 晴/晴 7℃/-2℃ 西风≤3级/东北风≤3级
2015年02月05日 多云/多云 7℃/-3℃ 东风≤3级/东风≤3级
2015年02月06日 多云/多云 8℃/-3℃ 东北风≤3级/东北风≤3级
2015年02月07日 晴/晴 10℃/-2℃ 东北风≤3级/东北风≤3级
2015年02月08日 多云/多云 8℃/-2℃ 东北风≤3级/东北风≤3级
2015年02月09日 多云/多云 9℃/-2℃ 东北风≤3级/东北风≤3级
2015年02月10日 多云/晴 12℃/-1℃ 东北风≤3级/东北风≤3级
2015年02月11日 晴/晴 16℃/2℃ 东北风≤3级/东北风≤3级
2015年02月12日 晴/晴 15℃/3℃ 东北风≤3级/东北风≤3级
2015年02月13日 晴/多云 18℃/2℃ 东北风≤3级/东风≤3级
2015年02月14日 多云/阴 13℃/5℃ 东风≤3级/东北风≤3级
2015年02月15日 多云/晴 15℃/3℃ 西北风≤3级/东风≤3级
2015年02月16日 晴/晴 14℃/2℃ 东风≤3级/东北风≤3级
2015年02月17日 多云/多云 14℃/2℃ 东北风≤3级/东北风≤3级
2015年02月18日 阴/阴 10℃/4℃ 西南风≤3级/西南风≤3级
2015年02月19日 小雨/小雨 7℃/3℃ 西南风≤3级/东北风≤3级
2015年02月20日 阴/多云 8℃/0℃ 东北风≤3级/东北风≤3级
2015年02月21日 晴/晴 12℃/1℃ 东北风≤3级/东北风≤3级
2015年02月22日 多云/阴 9℃/0℃ 东北风≤3级/东风≤3级
2015年02月23日 多云/晴 9℃/0℃ 东风≤3级/东风≤3级
2015年02月24日 阴/多云 12℃/1℃ 东风≤3级/东北风≤3级
2015年02月25日 多云/多云 12℃/2℃ 东北风≤3级/东风≤3级
2015年02月26日 阴/小雨 10℃/3℃ 东北风≤3级/东风≤3级
2015年02月27日 雨夹雪/雨夹雪 6℃/3℃ 西南风≤3级/西南风≤3级
2015年02月28日 阴/晴 8℃/-1℃ 东北风≤3级/东北风≤3级
2015年03月01日 多云/多云 11℃/0℃ 东北风≤3级/东风≤3级
2015年03月02日 多云/晴 14℃/2℃ 东风≤3级/东风≤3级
2015年03月03日 多云/多云 9℃/0℃ 东风≤3级/东北风≤3级
2015年03月04日 阴/阴 8℃/0℃ 东北风≤3级/东北风≤3级
2015年03月05日 阴/阴 8℃/0℃ 东风≤3级/东风≤3级
2015年03月06日 多云/多云 11℃/0℃ 东风≤3级/东北风≤3级
2015年03月07日 阴/阴 12℃/2℃ 东北风≤3级/东北风≤3级
2015年03月08日 多云/晴 18℃/4℃ 东风≤3级/东风≤3级
2015年03月09日 多云/多云 11℃/4℃ 东北风3-4级/东风≤3级
2015年03月10日 阴/多云 9℃/4℃ 东风≤3级/东风≤3级
2015年03月11日 多云/晴 14℃/3℃ 东风≤3级/东风≤3级
2015年03月12日 晴/晴 21℃/6℃ 东风≤3级/东风≤3级
2015年03月13日 晴/多云 20℃/8℃ 东风≤3级/东北风≤3级
2015年03月14日 多云/多云 19℃/9℃ 东北风≤3级/东北风≤3级
2015年03月15日 多云/阴 18℃/8℃ 东北风≤3级/西南风≤3级
2015年03月16日 阴/小雨 17℃/10℃ 西南风≤3级/西南风≤3级
2015年03月17日 小雨/小雨 16℃/9℃ 西南风≤3级/西南风≤3级
2015年03月18日 小雨/阴 13℃/7℃ 西南风≤3级/西南风≤3级
2015年03月19日 阴/阴 14℃/8℃ 西风≤3级/西风≤3级
2015年03月20日 多云/多云 19℃/6℃ 西风≤3级/东风≤3级
2015年03月21日 多云/多云 21℃/8℃ 东风≤3级/东风≤3级
2015年03月22日 阴/小雨 18℃/8℃ 西南风≤3级/西南风≤3级
2015年03月23日 小雨/阴 14℃/8℃ 西南风≤3级/西南风≤3级
2015年03月24日 小雨/阴 12℃/5℃ 东北风≤3级/东风≤3级
2015年03月25日 小到中雨/小到中雨 9℃/6℃ 东风≤3级/东风≤3级
2015年03月26日 阴/多云 12℃/6℃ 东风≤3级/东风≤3级
2015年03月27日 多云/多云 17℃/6℃ 东风≤3级/东北风≤3级
2015年03月28日 多云/阴 20℃/8℃ 东风≤3级/东北风≤3级
2015年03月29日 阴/多云 18℃/10℃ 东风≤3级/东风≤3级
2015年03月30日 多云/多云 22℃/14℃ 东风≤3级/东北风≤3级
2015年03月31日 阴/小雨 23℃/13℃ 东北风≤3级/东风≤3级
2015年04月01日 小到中雨/小到中雨 18℃/12℃ 东北风≤3级/东风≤3级
2015年04月02日 晴/晴 21℃/11℃ 东风≤3级/东风≤3级
2015年04月03日 阴/小雨 19℃/11℃ 东风≤3级/东风≤3级
2015年04月04日 小雨/小到中雨 15℃/11℃ 东风≤3级/东风≤3级
2015年04月05日 小雨/阴 13℃/8℃ 东风≤3级/东北风≤3级
2015年04月06日 小雨/小雨 12℃/5℃ 东北风≤3级/东风≤3级
2015年04月07日 阴/多云 15℃/7℃ 西南风≤3级/西南风≤3级
2015年04月08日 阴/阴 17℃/8℃ 东风≤3级/东风≤3级
2015年04月09日 多云/阴 21℃/9℃ 东风≤3级/东风≤3级
2015年04月10日 阴/多云 25℃/11℃ 东风≤3级/东风≤3级
2015年04月11日 多云/晴 24℃/7℃ 东风≤3级/东北风≤3级
2015年04月12日 多云/晴 12℃/7℃ 东北风≤3级/东北风≤3级
2015年04月13日 晴/晴 17℃/5℃ 东北风≤3级/东北风≤3级
2015年04月14日 多云/多云 21℃/8℃ 东北风≤3级/东北风≤3级
2015年04月15日 晴/晴 29℃/15℃ 东北风≤3级/东北风≤3级
2015年04月16日 晴/多云 24℃/12℃ 东北风≤3级/东北风≤3级
2015年04月17日 阴/阴 19℃/14℃ 东北风≤3级/西风≤3级
2015年04月18日 中雨/阴 17℃/12℃ 西风≤3级/西风≤3级
2015年04月19日 阴/多云 19℃/10℃ 西风≤3级/西风≤3级
2015年04月20日 阴/阴 21℃/12℃ 西风≤3级/西风≤3级
2015年04月21日 阴/多云 26℃/11℃ 西风≤3级/东风≤3级
2015年04月22日 阴/多云 24℃/11℃ 东风≤3级/东风≤3级
2015年04月23日 多云/多云 26℃/13℃ 东北风≤3级/东北风≤3级
2015年04月24日 多云/多云 27℃/13℃ 东北风≤3级/东北风≤3级
2015年04月25日 多云/阴 27℃/14℃ 东北风≤3级/东北风≤3级
2015年04月26日 阴/多云 29℃/15℃ 东北风≤3级/东北风≤3级
2015年04月27日 晴/晴 31℃/16℃ 东北风≤3级/东北风≤3级
2015年04月28日 晴/晴 34℃/16℃ 东北风≤3级/东北风≤3级
2015年04月29日 多云/阴 31℃/18℃ 东北风≤3级/东北风≤3级
2015年04月30日 阴/中雨 29℃/19℃ 东北风≤3级/西南风≤3级
2015年05月01日 中雨/阴 22℃/14℃ 西南风≤3级/西南风≤3级
2015年05月02日 晴/晴 23℃/13℃ 西南风≤3级/东北风≤3级
2015年05月03日 阵雨/阴 23℃/15℃ 东风≤3级/东风≤3级
2015年05月04日 多云/多云 25℃/15℃ 东风≤3级/西风≤3级
2015年05月05日 多云/晴 26℃/17℃ 西风≤3级/西风≤3级
2015年05月06日 晴/晴 28℃/17℃ 西风≤3级/东风≤3级
2015年05月07日 阵雨/阵雨 26℃/14℃ 东北风≤3级/南风≤3级
2015年05月08日 多云/多云 26℃/16℃ 东风≤3级/东北风≤3级
2015年05月09日 多云/阴 26℃/18℃ 东北风≤3级/西风≤3级
2015年05月10日 小到中雨/小雨 20℃/13℃ 西风≤3级/东风≤3级
2015年05月11日 多云/晴 24℃/12℃ 东风≤3级/东风≤3级
2015年05月12日 晴/晴 28℃/16℃ 东风≤3级/东风≤3级
2015年05月13日 晴/多云 32℃/19℃ 东北风≤3级/东北风≤3级
2015年05月14日 多云/阴 29℃/19℃ 东北风≤3级/东北风≤3级
2015年05月15日 多云/多云 30℃/18℃ 东北风≤3级/东风≤3级
2015年05月16日 多云/小雨 29℃/21℃ 东风≤3级/西南风≤3级
2015年05月17日 阴/多云 31℃/19℃ 东风≤3级/东风≤3级
2015年05月18日 晴/晴 32℃/20℃ 东北风≤3级/东北风≤3级
2015年05月19日 晴/多云 33℃/20℃ 东北风≤3级/东北风≤3级
2015年05月20日 阴/小雨 27℃/19℃ 东北风≤3级/西南风≤3级
2015年05月21日 小雨/阴 22℃/15℃ 西南风≤3级/东北风≤3级
2015年05月22日 多云/多云 26℃/15℃ 东北风≤3级/东北风≤3级
2015年05月23日 晴/晴 30℃/17℃ 东北风≤3级/东北风≤3级
2015年05月24日 晴/多云 30℃/17℃ 东风≤3级/东风≤3级
2015年05月25日 阴/多云 29℃/19℃ 东风≤3级/东北风≤3级
2015年05月26日 多云/多云 29℃/20℃ 东北风≤3级/东北风≤3级
2015年05月27日 晴/多云 32℃/22℃ 东北风≤3级/西风≤3级
2015年05月28日 阵雨/中雨 29℃/17℃ 东风≤3级/西南风≤3级
2015年05月29日 小雨/晴 26℃/19℃ 东风≤3级/东北风≤3级
2015年05月30日 多云/多云 32℃/20℃ 东北风≤3级/东北风≤3级
2015年05月31日 多云/小雨 31℃/21℃ 东北风≤3级/东风≤3级
2015年06月01日 小雨/阴 24℃/22℃ 东北风≤3级/东风≤3级
2015年06月02日 阴/小雨 28℃/21℃ 东风≤3级/东风≤3级
2015年06月03日 小雨/小雨 26℃/18℃ 东风≤3级/东风≤3级
2015年06月04日 多云/晴 27℃/18℃ 东风≤3级/东北风≤3级
2015年06月05日 晴/晴 34℃/21℃ 东北风≤3级/东北风≤3级
2015年06月06日 多云/多云 34℃/21℃ 东北风≤3级/东北风≤3级
2015年06月07日 多云/多云 32℃/20℃ 东北风≤3级/东风≤3级
2015年06月08日 多云/多云 32℃/20℃ 东风≤3级/东风≤3级
2015年06月09日 多云/多云 36℃/23℃ 东北风≤3级/东北风≤3级
2015年06月10日 晴/多云 31℃/20℃ 东北风≤3级/西北风3-4级
2015年06月11日 晴/晴 32℃/20℃ 东北风≤3级/东北风≤3级
2015年06月12日 多云/多云 34℃/20℃ 东北风≤3级/东北风≤3级
2015年06月13日 多云/多云 33℃/20℃ 东北风≤3级/东风≤3级
2015年06月14日 阴/阴 32℃/22℃ 西南风≤3级/东风≤3级
2015年06月15日 小雨/小雨 24℃/20℃ 西南风≤3级/西南风≤3级
2015年06月16日 小雨/多云 29℃/19℃ 西南风≤3级/东北风≤3级
2015年06月17日 多云/多云 32℃/21℃ 东北风≤3级/东北风≤3级
2015年06月18日 多云/多云 34℃/22℃ 东北风≤3级/东北风≤3级
2015年06月19日 阴/阴 36℃/22℃ 东北风≤3级/东风≤3级
2015年06月20日 小雨/小雨 29℃/21℃ 东北风≤3级/西南风≤3级
2015年06月21日 多云/多云 35℃/22℃ 东北风≤3级/东风≤3级
2015年06月22日 阴/小雨 36℃/22℃ 东北风≤3级/东北风≤3级
2015年06月23日 中到大雨/大雨 28℃/21℃ 西南风≤3级/西南风≤3级
2015年06月24日 中雨/小雨 21℃/20℃ 西南风≤3级/西南风≤3级
2015年06月25日 阴/多云 29℃/22℃ 东北风≤3级/东风≤3级
2015年06月26日 阴/小雨 29℃/21℃ 西南风≤3级/西南风≤3级
2015年06月27日 中雨/小到中雨 27℃/21℃ 东风≤3级/东风≤3级
2015年06月28日 小雨/中雨 29℃/21℃ 东风≤3级/东风≤3级
2015年06月29日 中雨/小雨 28℃/22℃ 东风≤3级/东风≤3级
2015年06月30日 阴/多云 30℃/23℃ 东北风≤3级/东北风≤3级
2015年07月01日 多云/多云 34℃/23℃ 东风≤3级/东风≤3级
2015年07月02日 多云/多云 33℃/22℃ 东北风≤3级/东北风≤3级
2015年07月03日 多云/阴 31℃/20℃ 东风≤3级/东北风≤3级
2015年07月04日 阴/阴 30℃/21℃ 东北风≤3级/西南风≤3级
2015年07月05日 小雨/阴 31℃/22℃ 东北风≤3级/东风≤3级
2015年07月06日 多云/晴 33℃/20℃ 东北风≤3级/东北风≤3级
2015年07月07日 晴/晴 33℃/22℃ 东北风≤3级/东北风≤3级
2015年07月08日 晴/多云 34℃/21℃ 东北风≤3级/东北风≤3级
2015年07月09日 多云/多云 32℃/22℃ 东北风≤3级/东北风≤3级
2015年07月10日 多云/晴 34℃/23℃ 东北风≤3级/东北风≤3级
2015年07月11日 晴/晴 35℃/23℃ 东北风≤3级/东北风≤3级
2015年07月12日 多云/多云 35℃/26℃ 东北风≤3级/东北风≤3级
2015年07月13日 多云/阴 36℃/24℃ 东北风≤3级/西南风≤3级
2015年07月14日 多云/阵雨 34℃/22℃ 东北风≤3级/南风≤3级
2015年07月15日 多云/晴 33℃/22℃ 东北风≤3级/东北风≤3级
2015年07月16日 多云/多云 32℃/21℃ 东风≤3级/东风≤3级
2015年07月17日 多云/多云 29℃/22℃ 东北风≤3级/东北风≤3级
2015年07月18日 多云/多云 36℃/23℃ 东风≤3级/东风≤3级
2015年07月19日 多云/雷阵雨 32℃/22℃ 东北风≤3级/东风≤3级
2015年07月20日 多云/多云 35℃/23℃ 东风≤3级/东风≤3级
2015年07月21日 多云/雷阵雨 34℃/25℃ 东风≤3级/西南风≤3级
2015年07月22日 小雨/多云 34℃/23℃ 西南风≤3级/东北风≤3级
2015年07月23日 多云/晴 34℃/23℃ 东北风≤3级/东北风≤3级
2015年07月24日 晴/晴 36℃/24℃ 东北风≤3级/东北风≤3级
2015年07月25日 晴/晴 36℃/24℃ 东北风≤3级/东北风≤3级
2015年07月26日 晴/晴 38℃/26℃ 东北风≤3级/东风≤3级
2015年07月27日 晴/晴 37℃/26℃ 东风≤3级/东风≤3级
2015年07月28日 晴/晴 38℃/26℃ 东风≤3级/东风≤3级
2015年07月29日 多云/多云 38℃/26℃ 西南风≤3级/东北风≤3级
2015年07月30日 多云/晴 39℃/26℃ 东风≤3级/东北风≤3级
2015年07月31日 晴/多云 39℃/28℃ 东北风≤3级/东北风≤3级
2015年08月01日 多云/多云 38℃/27℃ 东北风≤3级/东风≤3级
2015年08月02日 小雨/小雨 39℃/28℃ 东风≤3级/西南风≤3级
2015年08月03日 中雨/中雨 35℃/22℃ 西南风≤3级/西南风≤3级
2015年08月04日 大雨/小雨 24℃/20℃ 西南风≤3级/西南风≤3级
2015年08月05日 晴/晴 31℃/21℃ 东北风≤3级/东北风≤3级
2015年08月06日 晴/多云 35℃/21℃ 东北风≤3级/东北风≤3级
2015年08月07日 阴/阴 32℃/24℃ 西南风≤3级/西南风≤3级
2015年08月08日 小雨/小雨 30℃/23℃ 西南风≤3级/东风≤3级
2015年08月09日 小雨/阵雨 30℃/22℃ 西南风≤3级/东南风≤3级
2015年08月10日 阵雨/阴 31℃/22℃ 东风≤3级/东风≤3级
2015年08月11日 小雨/阵雨 31℃/23℃ 东南风≤3级/东风≤3级
2015年08月12日 小到中雨/雷阵雨 28℃/23℃ 东南风≤3级/东北风≤3级
2015年08月13日 多云/多云 30℃/22℃ 东风≤3级/东风≤3级
2015年08月14日 阵雨/晴 28℃/20℃ 东风≤3级/东北风≤3级
2015年08月15日 多云/晴 32℃/22℃ 东北风≤3级/东风≤3级
2015年08月16日 多云/多云 32℃/22℃ 东北风≤3级/东北风≤3级
2015年08月17日 小雨/小雨 28℃/22℃ 南风≤3级/西南风≤3级
2015年08月18日 小雨/小雨 23℃/20℃ 西南风≤3级/西南风≤3级
2015年08月19日 阴/多云 29℃/21℃ 西南风≤3级/东北风≤3级
2015年08月20日 多云/晴 30℃/19℃ 东北风≤3级/东北风≤3级
2015年08月21日 晴/晴 32℃/19℃ 东北风≤3级/东北风≤3级
2015年08月22日 多云/多云 34℃/20℃ 东北风≤3级/东北风≤3级
2015年08月23日 小雨/阵雨 32℃/19℃ 西南风≤3级/西南风≤3级
2015年08月24日 多云/晴 33℃/18℃ 东北风≤3级/东北风≤3级
2015年08月25日 晴/多云 32℃/20℃ 东北风≤3级/东北风≤3级
2015年08月26日 阵雨/晴 33℃/20℃ 东北风≤3级/东北风≤3级
2015年08月27日 多云/多云 33℃/19℃ 东北风≤3级/东北风≤3级
2015年08月28日 多云/晴 34℃/20℃ 东北风≤3级/东北风≤3级
2015年08月29日 晴/晴 33℃/20℃ 东北风≤3级/东北风≤3级
2015年08月30日 晴/多云 34℃/22℃ 东北风≤3级/东北风≤3级
2015年08月31日 阵雨/多云 30℃/20℃ 东北风≤3级/东北风≤3级
2015年09月01日 多云/多云 32℃/20℃ 东北风≤3级/西南风≤3级
2015年09月02日 多云/阴 30℃/22℃ 西南风≤3级/西南风≤3级
2015年09月03日 中雨/中雨 26℃/20℃ 西南风≤3级/东风≤3级
2015年09月04日 阴/晴 26℃/21℃ 东北风≤3级/东北风≤3级
2015年09月05日 多云/晴 32℃/20℃ 东北风≤3级/东北风≤3级
2015年09月06日 晴/多云 31℃/19℃ 东北风≤3级/东北风≤3级
2015年09月07日 多云/阴 30℃/22℃ 东风≤3级/东风≤3级
2015年09月08日 小雨/小雨 26℃/20℃ 东风≤3级/西南风≤3级
2015年09月09日 中雨/中雨 22℃/18℃ 东风≤3级/北风≤3级
2015年09月10日 中雨/阵雨 21℃/18℃ 西南风≤3级/东北风≤3级
2015年09月11日 多云/多云 26℃/16℃ 东北风≤3级/东北风≤3级
2015年09月12日 晴/多云 25℃/15℃ 东北风≤3级/东北风≤3级
2015年09月13日 阵雨/多云 24℃/15℃ 东风≤3级/东风≤3级
2015年09月14日 晴/晴 28℃/16℃ 东北风≤3级/东北风≤3级
2015年09月15日 多云/多云 27℃/19℃ 东北风≤3级/西南风≤3级
2015年09月16日 小雨/小到中雨 26℃/19℃ 西南风≤3级/东北风≤3级
2015年09月17日 小雨/阴 24℃/17℃ 东风≤3级/东风≤3级
2015年09月18日 多云/多云 27℃/17℃ 东北风≤3级/东北风≤3级
2015年09月19日 阴/多云 28℃/17℃ 东风≤3级/东风≤3级
2015年09月20日 多云/多云 29℃/18℃ 东风≤3级/东南风≤3级
2015年09月21日 阴/小雨 28℃/19℃ 东风≤3级/东风≤3级
2015年09月22日 小雨/多云 22℃/14℃ 西南风≤3级/西南风≤3级
2015年09月23日 小雨/小到中雨 25℃/16℃ 东风≤3级/东风≤3级
2015年09月24日 阴/多云 20℃/15℃ 东北风≤3级/东北风≤3级
2015年09月25日 多云/多云 25℃/16℃ 东北风≤3级/东北风≤3级
2015年09月26日 多云/阴 27℃/18℃ 东风≤3级/东风≤3级
2015年09月27日 小雨/小雨 25℃/18℃ 东风≤3级/东风≤3级
2015年09月28日 小雨/小雨 25℃/17℃ 西南风≤3级/东风≤3级
2015年09月29日 阴/阴 22℃/17℃ 西南风≤3级/北风≤3级
2015年09月30日 小雨/阴 22℃/11℃ 北风3-4级/西北风3-4级
2015年10月01日 晴/晴 21℃/10℃ 北风≤3级/西北风≤3级
2015年10月02日 多云/多云 20℃/11℃ 南风≤3级/南风≤3级
2015年10月03日 阴/阴 22℃/11℃ 南风≤3级/东北风≤3级
2015年10月04日 阴/多云 22℃/13℃ 东风≤3级/东北风≤3级
2015年10月05日 多云/阴 23℃/14℃ 东风≤3级/西南风≤3级
2015年10月06日 小雨/阴 18℃/14℃ 西南风≤3级/西风≤3级
2015年10月07日 多云/多云 24℃/13℃ 西风≤3级/北风3-4级
2015年10月08日 多云/晴 18℃/10℃ 北风4-5级/北风3-4级
2015年10月09日 晴/晴 23℃/10℃ 北风≤3级/北风≤3级
2015年10月10日 晴/晴 23℃/9℃ 东北风≤3级/东北风≤3级
2015年10月11日 晴/晴 22℃/9℃ 东北风≤3级/东北风≤3级
2015年10月12日 晴/多云 22℃/10℃ 东北风≤3级/东风≤3级
2015年10月13日 多云/晴 23℃/13℃ 东北风≤3级/东北风≤3级
2015年10月14日 晴/晴 24℃/14℃ 东风≤3级/东北风≤3级
2015年10月15日 晴/晴 25℃/14℃ 东北风≤3级/东北风≤3级
2015年10月16日 晴/阴 25℃/15℃ 东北风≤3级/西南风≤3级
2015年10月17日 阵雨/阴 26℃/15℃ 西南风≤3级/东风≤3级
2015年10月18日 阵雨/阵雨 24℃/15℃ 西南风≤3级/西南风≤3级
2015年10月19日 晴/晴 25℃/14℃ 东北风≤3级/东北风≤3级
2015年10月20日 多云/霾 25℃/14℃ 东北风≤3级/东北风≤3级
2015年10月21日 霾/霾 24℃/15℃ 东北风≤3级/东北风≤3级
2015年10月22日 多云/阴 23℃/14℃ 东北风≤3级/东风≤3级
2015年10月23日 阴/阴 19℃/14℃ 东风≤3级/东风≤3级
2015年10月24日 小雨/中雨 15℃/13℃ 东风≤3级/西南风≤3级
2015年10月25日 小雨/小雨 14℃/11℃ 西南风≤3级/东风≤3级
2015年10月26日 小雨/晴 15℃/6℃ 东风≤3级/东北风≤3级
2015年10月27日 多云/多云 15℃/10℃ 东北风≤3级/东北风≤3级
2015年10月28日 阴/阴 15℃/9℃ 东北风≤3级/东风≤3级
2015年10月29日 阴/多云 18℃/8℃ 东风≤3级/东风≤3级
2015年10月30日 阴/小雨 12℃/8℃ 东风≤3级/东北风≤3级
2015年10月31日 小雨/晴 11℃/4℃ 西南风≤3级/东风≤3级
2015年11月01日 晴/晴 14℃/3℃ 东北风≤3级/东北风≤3级
2015年11月02日 晴/晴 15℃/5℃ 东风≤3级/东北风≤3级
2015年11月03日 多云/阴 16℃/8℃ 东北风≤3级/西南风≤3级
2015年11月04日 阴/小雨 14℃/11℃ 西南风≤3级/西南风≤3级
2015年11月05日 小雨/小雨 16℃/11℃ 西南风≤3级/东风≤3级
2015年11月06日 小雨/小雨 11℃/10℃ 西南风≤3级/西南风≤3级
2015年11月07日 小雨/小雨 8℃/6℃ 东风≤3级/东风≤3级
2015年11月08日 晴/晴 16℃/4℃ 东风≤3级/东风≤3级
2015年11月09日 多云/阴 14℃/6℃ 东风≤3级/西南风≤3级
2015年11月10日 小雨/小雨 12℃/8℃ 西南风≤3级/东风≤3级
2015年11月11日 阴/阴 10℃/7℃ 西南风≤3级/西南风≤3级
2015年11月12日 小雨/阴 10℃/6℃ 西南风≤3级/东风≤3级
2015年11月13日 多云/多云 12℃/4℃ 东北风≤3级/东北风≤3级
2015年11月14日 多云/小雨 12℃/7℃ 西南风≤3级/东风≤3级
2015年11月15日 多云/多云 14℃/8℃ 东北风≤3级/东风≤3级
2015年11月16日 多云/小雨 13℃/7℃ 东风≤3级/东北风≤3级
2015年11月17日 小雨/小雨 10℃/8℃ 东风≤3级/东风≤3级
2015年11月18日 阴/多云 10℃/5℃ 东北风≤3级/东北风≤3级
2015年11月19日 晴/多云 11℃/7℃ 东风≤3级/东风≤3级
2015年11月20日 晴/阴 13℃/5℃ 东北风≤3级/东风≤3级
2015年11月21日 阴/小雨 9℃/7℃ 东风≤3级/东风≤3级
2015年11月22日 阴/阴 10℃/7℃ 东风≤3级/西南风≤3级
2015年11月23日 小雨/小雨 7℃/2℃ 东风≤3级/东风≤3级
2015年11月24日 小雨/多云 5℃/-1℃ 西南风≤3级/西北风≤3级
2015年11月25日 晴/晴 12℃/-1℃ 西北风≤3级/西北风≤3级
2015年11月26日 晴/晴 9℃/-2℃ 西北风≤3级/东北风≤3级
2015年11月27日 晴/多云 11℃/1℃ 东北风≤3级/东北风≤3级
2015年11月28日 多云/多云 14℃/1℃ 东北风≤3级/东北风≤3级
2015年11月29日 晴/晴 14℃/0℃ 东北风≤3级/东北风≤3级
2015年11月30日 霾/霾 11℃/2℃ 东风≤3级/东北风≤3级
2015年12月01日 晴/晴 13℃/3℃ 东北风≤3级/西北风≤3级
2015年12月02日 晴/晴 11℃/1℃ 西北风≤3级/西北风≤3级
2015年12月03日 晴/晴 9℃/0℃ 东北风≤3级/东风≤3级
2015年12月04日 多云/多云 7℃/-1℃ 西北风≤3级/东北风≤3级
2015年12月05日 多云/多云 6℃/1℃ 东风≤3级/东风≤3级
2015年12月06日 晴/晴 10℃/-2℃ 东北风≤3级/东北风≤3级
2015年12月07日 晴/霾 10℃/3℃ 东风≤3级/东北风≤3级
2015年12月08日 霾/霾 8℃/2℃ 东北风≤3级/东北风≤3级
2015年12月09日 霾/阴 6℃/2℃ 东北风≤3级/东风≤3级
2015年12月10日 多云/阴 7℃/2℃ 东风≤3级/东风≤3级
2015年12月11日 阴/小雨 7℃/1℃ 东风≤3级/东风≤3级
2015年12月12日 小雨/小雨 5℃/1℃ 西南风≤3级/西南风≤3级
2015年12月13日 小雨/多云 7℃/0℃ 东北风≤3级/东北风≤3级
2015年12月14日 阴/晴 8℃/-2℃ 东北风≤3级/西北风≤3级
2015年12月15日 晴/晴 8℃/-3℃ 东北风≤3级/东北风≤3级
2015年12月16日 晴/晴 4℃/-5℃ 西北风≤3级/东北风≤3级
2015年12月17日 晴/多云 4℃/-5℃ 东北风≤3级/东北风≤3级
2015年12月18日 多云/阴 5℃/-3℃ 东北风≤3级/东风≤3级
2015年12月19日 多云/晴 5℃/-3℃ 东北风≤3级/东北风≤3级
2015年12月20日 多云/多云 6℃/-3℃ 东风≤3级/东风≤3级
